Make,Model,Cylinder,Trans as listed in FE Guide (derived from col AA thru AF),CityMPG,HighwayMPG,CombinedMPG,Air Aspir Method,Air Aspiration Method Desc,Transmission,Drive,Drive Desc,Fuel,Fuel Usage Desc - Conventional Fuel,Cost,EPA Calculated Annual Fuel Cost - Conventional Fuel -----  Annual fuel cost error. Please revise Verify. ,Carline Class,Carline Class Desc,Release Date,CityCO2,HighwayCO2,CombinedCO2
BMW,640i Convertible,6,Auto(S8),20,31,24,TC,Turbocharged,Semi-Automatic,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),2400,2400,3,Subcompact Cars,4/10/2014,443,288,374
BMW,640i Coupe,6,Auto(S8),21,32,25,TC,Turbocharged,Semi-Automatic,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),2300,2300,3,Subcompact Cars,4/9/2014,423,278,358
BMW,640i xDrive Convertible,6,Auto(S8),20,29,23,TC,Turbocharged,Semi-Automatic,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2500,2500,3,Subcompact Cars,4/10/2014,448,302,382
BMW,640i xDrive Coupe,6,Auto(S8),20,29,23,TC,Turbocharged,Semi-Automatic,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2500,2500,3,Subcompact Cars,4/10/2014,448,302,382
BMW,650i Convertible,8,Auto(S8),17,25,20,TC,Turbocharged,Semi-Automatic,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),2850,2850,3,Subcompact Cars,4/17/2014,505,360,440
BMW,650i Coupe,8,Auto(S8),17,25,20,TC,Turbocharged,Semi-Automatic,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),2850,2850,3,Subcompact Cars,4/17/2014,505,360,440
BMW,650i xDrive Convertible,8,Auto(S8),16,24,19,TC,Turbocharged,Semi-Automatic,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),3000,3000,3,Subcompact Cars,4/17/2014,566,369,477
BMW,650i xDrive Coupe,8,Auto(S8),16,25,19,TC,Turbocharged,Semi-Automatic,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),3000,3000,3,Subcompact Cars,4/17/2014,543,361,461
BMW,M4 Convertible,6,Manual(M6),17,26,20,TC,Turbocharged,Manual,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),2850,2850,3,Subcompact Cars,6/1/2014,520,340,439
BMW,M6 Convertible,8,Auto(AM-S7),14,20,16,TC,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),3550,3550,3,Subcompact Cars,5/9/2014,652,435,554
BMW,M6 Convertible,8,Manual(M6),15,22,17,TC,Turbocharged,Manual,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),3350,3350,3,Subcompact Cars,5/9/2014,605,409,517
BMW,M6 Coupe,8,Auto(AM-S7),14,20,16,TC,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),3550,3550,3,Subcompact Cars,5/9/2014,652,435,554
BMW,M6 Coupe,8,Manual(M6),15,22,17,TC,Turbocharged,Manual,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),3350,3350,3,Subcompact Cars,5/9/2014,605,409,517
BMW,428i Gran Coupe,4,Auto(S8),23,34,27,TC,Turbocharged,Semi-Automatic,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),2100,2100,4,Compact Cars,5/1/2014,391,265,334
BMW,428i xDrive Gran Coupe,4,Auto(S8),22,32,26,TC,Turbocharged,Semi-Automatic,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2200,2200,4,Compact Cars,6/1/2014,402,273,344
BMW,435i Gran Coupe,6,Auto(S8),21,32,25,TC,Turbocharged,Semi-Automatic,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),2300,2300,4,Compact Cars,4/10/2014,423,278,358
BMW,435i xDrive Gran Coupe,6,Auto(S8),20,31,24,TC,Turbocharged,Semi-Automatic,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2400,2400,4,Compact Cars,6/1/2014,444,292,375
BMW,640i Gran Coupe,6,Auto(S8),20,31,24,TC,Turbocharged,Semi-Automatic,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),2400,2400,4,Compact Cars,4/10/2014,443,288,374
BMW,640i xDrive Gran Coupe,6,Auto(S8),20,29,23,TC,Turbocharged,Semi-Automatic,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2500,2500,4,Compact Cars,4/10/2014,448,302,382
BMW,650i Gran Coupe,8,Auto(S8),17,25,20,TC,Turbocharged,Semi-Automatic,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),2850,2850,4,Compact Cars,4/17/2014,505,360,440
